trade_date,open,high,low,close,adjusted_close,volume
2026-01-02,101.2748,101.8824,100.5928,101.2000,101.2000,2050000
2026-01-05,101.8455,102.4566,101.1023,101.7126,101.7126,2072044
2026-01-06,102.2753,102.8890,101.4797,102.0922,102.0922,2093859
2026-01-07,102.5739,103.1894,101.7379,102.3520,102.3520,2115221
2026-01-08,102.7636,103.3802,101.9015,102.5166,102.5166,2135918
2026-01-09,102.8758,103.4931,102.0036,102.6193,102.6193,2155758
2026-01-12,102.9474,103.5651,102.0812,102.6974,102.6974,2174573
2026-01-13,103.0152,103.6333,102.1705,102.7872,102.7872,2192222
2026-01-14,103.1122,103.7309,102.3028,102.9203,102.9203,2208596
2026-01-15,103.2628,103.8823,102.5003,103.1190,103.1190,2223624
2026-01-16,103.4803,104.1012,102.7734,103.3937,103.3937,2237270
2026-01-20,103.7654,104.3880,103.1192,103.7417,103.7417,2249536
2026-01-21,104.1058,104.7717,103.4811,104.1469,104.1469,2260464
2026-01-22,104.4781,105.2094,103.8512,104.5819,104.5819,2270133
2026-01-23,104.8506,105.6413,104.2215,105.0112,105.0112,2278654
2026-01-26,105.1868,106.0270,104.5557,105.3946,105.3946,2286173
2026-01-27,105.4505,106.3267,104.8178,105.6926,105.6926,2292863
2026-01-28,105.6094,106.5058,104.9758,105.8706,105.8706,2065170
2026-01-29,105.6398,106.5390,105.0060,105.9036,105.9036,2070806
2026-01-30,105.5294,106.4135,104.8962,105.7789,105.7789,2076246
2026-02-02,105.2791,106.1316,104.6474,105.4986,105.4986,2081721
2026-02-03,104.9040,105.7103,104.2746,105.0798,105.0798,2087460
2026-02-04,104.4320,105.1807,103.8054,104.5534,104.5534,2093686
2026-02-05,103.9013,104.5851,103.2779,103.9613,103.9613,2100606
2026-02-06,103.3572,103.9773,102.7327,103.3528,103.3528,2108409
2026-02-09,102.8475,103.4646,102.1631,102.7797,102.7797,2117262
2026-02-10,102.4177,103.0322,101.6776,102.2913,102.2913,2127299
2026-02-11,102.1066,102.7192,101.3182,101.9298,101.9298,2138623
2026-02-12,101.9422,102.5539,101.1156,101.7260,101.7260,2151302
2026-02-13,101.9395,102.5511,101.0867,101.6969,101.6969,2165365
2026-02-17,102.0984,102.7110,101.2331,101.8441,101.8441,2180803
2026-02-18,102.4047,103.0191,101.5412,102.1542,102.1542,2197571
2026-02-19,102.8316,103.4486,101.9846,102.6002,102.6002,2215583
2026-02-20,103.3432,103.9633,102.5264,103.1453,103.1453,2234722
2026-02-23,103.8986,104.5220,103.1245,103.7469,103.7469,2021090
2026-02-24,104.4567,105.0835,103.7351,104.3612,104.3612,2042008
2026-02-25,104.9807,105.6106,104.3184,104.9481,104.9481,2063529
2026-02-26,105.4423,106.1081,104.8097,105.4753,105.4753,2085437
2026-02-27,105.8248,106.5574,105.1899,105.9219,105.9219,2107506
2026-03-02,106.1246,106.9178,105.4878,106.2801,106.2801,2129505
2026-03-03,106.3511,107.1950,105.7130,106.5557,106.5557,2151207
2026-03-04,106.5260,107.4074,105.8868,106.7668,106.7668,2172390
2026-03-05,106.6795,107.5834,106.0394,106.9417,106.9417,2192849
2026-03-06,106.8471,107.7572,106.2060,107.1145,107.1145,2212397
2026-03-09,107.0650,107.9649,106.4226,107.3210,107.3210,2230874
2026-03-10,107.3653,108.2396,106.7211,107.5940,107.5940,2248149
2026-03-11,107.7720,108.6069,107.1254,107.9592,107.9592,2264125
2026-03-12,108.2972,109.0816,107.6474,108.4311,108.4311,2278739
2026-03-13,108.9394,109.6652,108.2857,109.0111,109.0111,2291967
2026-03-16,109.6822,110.3448,109.0241,109.6867,109.6867,2303825
2026-03-17,110.4958,111.1588,109.7693,110.4319,110.4319,2314364
2026-03-18,111.3390,112.0071,110.5425,111.2097,111.2097,2089924
2026-03-19,112.1633,112.8363,111.3040,111.9759,111.9759,2098127
2026-03-20,112.9174,113.5949,112.0068,112.6829,112.6829,2105378
2026-03-23,113.5524,114.2337,112.6054,113.2851,113.2851,2111855
2026-03-24,114.0269,114.7111,113.0612,113.7436,113.7436,2117762
2026-03-25,114.3115,114.9974,113.3460,114.0302,114.0302,2123315
2026-03-26,114.3918,115.0781,113.4456,114.1304,114.1304,2128742
2026-03-27,114.2701,114.9557,113.3611,114.0454,114.0454,2134273
2026-03-30,113.9655,114.6493,113.1088,113.7916,113.7916,2140135
2026-03-31,113.5119,114.1930,112.7191,113.3995,113.3995,2146548
2026-04-01,112.9549,113.6326,112.2330,112.9105,112.9105,2153715
2026-04-02,112.3470,113.0470,111.6729,112.3728,112.3728,2161819
2026-04-06,111.7429,112.5077,111.0724,111.8367,111.8367,2171015
2026-04-07,111.1940,112.0175,110.5269,111.3494,111.3494,2181430
2026-04-08,110.7438,111.6164,110.0794,110.9507,110.9507,2193156
2026-04-09,110.4239,111.3334,109.7613,110.6694,110.6694,2206250
2026-04-10,110.2513,111.1835,109.5898,110.5204,110.5204,2220730
2026-04-13,110.2280,111.1672,109.5666,110.5042,110.5042,2002825
2026-04-14,110.3409,111.2710,109.6789,110.6073,110.6073,2019977
2026-04-15,110.5646,111.4696,109.9012,110.8048,110.8048,2038342
2026-04-16,110.8641,111.7296,110.1989,111.0632,111.0632,2057793
2026-04-17,111.2000,112.0134,110.5328,111.3453,111.3453,2078171
2026-04-20,111.5324,112.2844,110.8632,111.6147,111.6147,2099292
2026-04-21,111.8263,112.5112,111.1553,111.8401,111.8401,2120953
