trade_date,open,high,low,close,adjusted_close,volume
2026-01-02,201.9491,203.1608,200.5892,201.8000,201.8000,1550000
2026-01-05,202.6499,203.8658,201.1711,202.3854,202.3854,1572044
2026-01-06,203.2612,204.4808,201.6800,202.8973,202.8973,1593859
2026-01-07,203.7779,205.0005,202.1169,203.3369,203.3369,1615221
2026-01-08,204.1986,205.4238,202.4857,203.7079,203.7079,1635918
2026-01-09,204.5265,205.7537,202.7925,204.0166,204.0166,1655758
2026-01-12,204.7686,205.9972,203.0456,204.2712,204.2712,1674573
2026-01-13,204.9355,206.1651,203.2550,204.4819,204.4819,1692222
2026-01-14,205.0413,206.2715,203.4318,204.6597,204.6597,1708596
2026-01-15,205.1022,206.3328,203.5877,204.8166,204.8166,1723624
2026-01-16,205.1362,206.3670,203.7347,204.9645,204.9645,1737270
2026-01-20,205.1618,206.3927,203.8842,205.1149,205.1149,1749536
2026-01-21,205.1973,206.5100,203.9662,205.2783,205.2783,1760464
2026-01-22,205.2598,206.6966,204.0283,205.4638,205.4638,1770133
2026-01-23,205.3642,206.9129,204.1320,205.6788,205.6788,1778654
2026-01-26,205.5223,207.1638,204.2891,205.9282,205.9282,1786173
2026-01-27,205.7424,207.4520,204.5079,206.2147,206.2147,1792863
2026-01-28,206.0289,207.7776,204.7927,206.5384,206.5384,1565170
2026-01-29,206.3816,208.1382,205.1433,206.8968,206.8968,1570806
2026-01-30,206.7960,208.5287,205.5552,207.2849,207.2849,1576246
2026-02-02,207.2634,208.9417,206.0199,207.6956,207.6956,1581721
2026-02-03,207.7713,209.3682,206.5247,208.1195,208.1195,1587460
2026-02-04,208.3036,209.7971,207.0538,208.5459,208.5459,1593686
2026-02-05,208.8420,210.2165,207.5890,208.9627,208.9627,1600606
2026-02-06,209.3664,210.6226,208.1014,209.3576,209.3576,1608409
2026-02-09,209.8559,211.1151,208.4594,209.7177,209.7177,1617262
2026-02-10,210.2904,211.5522,208.7708,210.0310,210.0310,1627299
2026-02-11,210.6511,211.9150,209.0246,210.2863,210.2863,1638623
2026-02-12,210.9216,212.1871,209.2113,210.4741,210.4741,1651302
2026-02-13,211.0891,212.3556,209.3232,210.5868,210.5868,1665365
2026-02-17,211.1449,212.4117,209.3554,210.6191,210.6191,1680803
2026-02-18,211.0849,212.3514,209.3051,210.5685,210.5685,1697571
2026-02-19,210.9101,212.1755,209.1729,210.4355,210.4355,1715583
2026-02-20,210.6264,211.8902,208.9618,210.2231,210.2231,1734722
2026-02-23,210.2447,211.5062,208.6781,209.9377,209.9377,1521090
2026-02-24,209.7799,211.0386,208.3306,209.5881,209.5881,1542008
2026-02-25,209.2509,210.5064,207.9307,209.1858,209.1858,1563529
2026-02-26,208.6793,209.9969,207.4272,208.7444,208.7444,1585437
2026-02-27,208.0884,209.5289,206.8399,208.2792,208.2792,1607506
2026-03-02,207.5026,209.0535,206.2576,207.8066,207.8066,1629505
2026-03-03,206.9459,208.5879,205.7042,207.3438,207.3438,1651207
2026-03-04,206.4411,208.1494,205.2025,206.9079,206.9079,1672390
2026-03-05,206.0091,207.7546,204.7730,206.5155,206.5155,1692849
2026-03-06,205.6674,207.4192,204.4334,206.1821,206.1821,1712397
2026-03-09,205.4303,207.1570,204.1977,205.9215,205.9215,1730874
2026-03-10,205.3080,206.9798,204.0761,205.7453,205.7453,1748149
2026-03-11,205.3061,206.8967,204.0743,205.6627,205.6627,1764125
2026-03-12,205.4261,206.9141,204.1936,205.6800,205.6800,1778739
2026-03-13,205.6650,207.0352,204.4310,205.8004,205.8004,1791967
2026-03-16,206.0156,207.2602,204.7796,206.0241,206.0241,1803825
2026-03-17,206.4675,207.7063,205.1100,206.3481,206.3481,1814364
2026-03-18,207.0068,208.2489,205.5259,206.7665,206.7665,1589924
2026-03-19,207.6176,208.8634,206.0271,207.2707,207.2707,1598127
2026-03-20,208.2825,209.5322,206.6028,207.8499,207.8499,1605378
2026-03-23,208.9831,210.2370,207.2402,208.4912,208.4912,1611855
2026-03-24,209.7015,210.9597,207.9254,209.1805,209.1805,1617762
2026-03-25,210.4205,211.6831,208.6433,209.9027,209.9027,1623315
2026-03-26,211.1250,212.3917,209.3788,210.6426,210.6426,1628742
2026-03-27,211.8018,213.0726,210.1169,211.3852,211.3852,1634273
