trade_date,open,high,low,close,adjusted_close,volume
2026-01-02,501.7704,504.7811,498.3916,501.4000,501.4000,4050000
2026-01-05,502.7518,505.7683,499.0831,502.0957,502.0957,4072044
2026-01-06,503.6036,506.6252,499.6858,502.7020,502.7020,4093859
2026-01-07,504.3135,507.3394,500.2029,503.2223,503.2223,4115221
2026-01-08,504.8775,507.9068,500.6423,503.6643,503.6643,4135918
2026-01-09,505.3000,508.3318,501.0159,504.0401,504.0401,4155758
2026-01-12,505.5931,508.6267,501.3390,504.3652,504.3652,4174573
2026-01-13,505.7761,508.8108,501.6286,504.6566,504.6566,4192222
2026-01-14,505.8737,508.9089,501.9027,504.9323,504.9323,4208596
2026-01-15,505.9142,508.9497,502.1786,505.2099,505.2099,4223624
2026-01-16,505.9280,508.9636,502.4717,505.5047,505.5047,4237270
2026-01-20,505.9451,508.9808,502.7945,505.8295,505.8295,4249536
2026-01-21,505.9934,509.2301,502.9574,506.1930,506.1930,4260464
2026-01-22,506.0965,509.6391,503.0600,506.5995,506.5995,4270133
2026-01-23,506.2729,510.0908,503.2353,507.0485,507.0485,4278654
2026-01-26,506.5342,510.5799,503.4950,507.5347,507.5347,4286173
2026-01-27,506.8844,511.0963,503.8431,508.0481,508.0481,4292863
2026-01-28,507.3202,511.6263,504.2762,508.5749,508.5749,4065170
2026-01-29,507.8305,512.1529,504.7835,509.0984,509.0984,4070806
2026-01-30,508.3977,512.6574,505.3473,509.5998,509.5998,4076246
2026-02-02,508.9987,513.1203,505.9447,510.0599,510.0599,4081721
2026-02-03,509.6060,513.5228,506.5483,510.4600,510.4600,4087460
2026-02-04,510.1902,513.8482,507.1290,510.7835,510.7835,4093686
2026-02-05,510.7215,514.0828,507.6572,511.0167,511.0167,4100606
2026-02-06,511.1719,514.2389,508.0835,511.1504,511.1504,4108409
2026-02-09,511.5172,514.5863,508.1132,511.1803,511.1803,4117262
2026-02-10,511.7387,514.8091,508.0407,511.1073,511.1073,4127299
2026-02-11,511.8245,514.8955,507.8726,510.9382,510.9382,4138623
2026-02-12,511.7709,514.8416,507.6211,510.6852,510.6852,4151302
2026-02-13,511.5826,514.6521,507.3030,510.3651,510.3651,4165365
2026-02-17,511.2724,514.3400,506.9392,509.9992,509.9992,4180803
2026-02-18,510.8613,513.9264,506.5540,509.6116,509.6116,4197571
2026-02-19,510.3768,513.4390,506.1729,509.2282,509.2282,4215583
2026-02-20,509.8516,512.9107,505.8221,508.8754,508.8754,4234722
2026-02-23,509.3220,512.3779,505.5268,508.5783,508.5783,4021090
2026-02-24,508.8253,511.8782,505.3099,508.3600,508.3600,4042008
2026-02-25,508.3981,511.4484,505.1905,508.2399,508.2399,4063529
2026-02-26,508.0740,511.2821,505.0256,508.2327,508.2327,4085437
2026-02-27,507.8821,511.3979,504.8348,508.3478,508.3478,4107506
2026-03-02,507.8448,511.6405,504.7977,508.5889,508.5889,4129505
2026-03-03,507.9770,512.0075,504.9291,508.9538,508.9538,4151207
2026-03-04,508.2852,512.4910,505.2355,509.4344,509.4344,4172390
2026-03-05,508.7673,513.0781,505.7147,510.0180,510.0180,4192849
2026-03-06,509.4125,513.7515,506.3560,510.6873,510.6873,4212397
2026-03-09,510.2024,514.4907,507.1411,511.4221,511.4221,4230874
2026-03-10,511.1116,515.2734,508.0449,512.2002,512.2002,4248149
2026-03-11,512.1096,516.0770,509.0369,512.9990,512.9990,4264125
2026-03-12,513.1625,516.8794,510.0835,513.7966,513.7966,4278739
2026-03-13,514.2348,517.6609,511.1494,514.5734,514.5734,4291967
2026-03-16,515.2917,518.4047,512.2000,515.3128,515.3128,4303825
2026-03-17,516.3012,519.3990,512.9065,516.0026,516.0026,4314364
2026-03-18,517.2355,520.3389,513.5351,516.6349,516.6349,4089924
2026-03-19,518.0732,521.1816,514.1042,517.2074,517.2074,4098127
2026-03-20,518.8000,521.9128,514.6161,517.7224,517.7224,4105378
2026-03-23,519.4095,522.5260,515.0779,518.1870,518.1870,4111855
2026-03-24,519.9038,523.0232,515.5005,518.6122,518.6122,4117762
2026-03-25,520.2925,523.4142,515.8980,519.0121,519.0121,4123315
2026-03-26,520.5922,523.7158,516.2864,519.4028,519.4028,4128742
2026-03-27,520.8255,523.9504,516.6823,519.8011,519.8011,4134273
2026-03-30,521.0185,524.1446,517.1019,520.2232,520.2232,4140135
2026-03-31,521.1998,524.3270,517.5593,520.6834,520.6834,4146548
2026-04-01,521.3981,524.5264,518.0659,521.1931,521.1931,4153715
2026-04-02,521.6399,524.8904,518.5101,521.7598,521.7598,4161819
2026-04-06,521.9484,525.5207,518.8167,522.3864,522.3864,4171015
2026-04-07,522.3410,526.2092,519.2070,523.0708,523.0708,4181430
2026-04-08,522.8289,526.9487,519.6920,523.8058,523.8058,4193156
2026-04-09,523.4156,527.7271,520.2751,524.5796,524.5796,4206250
2026-04-10,524.0968,528.5283,520.9522,525.3761,525.3761,4220730
2026-04-13,524.8605,529.3327,521.7113,526.1757,526.1757,4002825
2026-04-14,525.6875,530.1185,522.5334,526.9568,526.9568,4019977
2026-04-15,526.5527,530.8629,523.3934,527.6968,527.6968,4038342
2026-04-16,527.4262,531.5436,524.2617,528.3734,528.3734,4057793
2026-04-17,528.2754,532.1399,525.1058,528.9661,528.9661,4078171
2026-04-20,529.0669,532.6342,525.8925,529.4575,529.4575,4099292
2026-04-21,529.7684,533.0130,526.5898,529.8340,529.8340,4120953
2026-04-22,530.3512,533.5333,526.9068,530.0873,530.0873,4142933
2026-04-23,530.7917,533.9765,527.0334,530.2146,530.2146,4165006
2026-04-24,531.0734,534.2599,527.0377,530.2190,530.2190,4186940
2026-04-27,531.1877,534.3748,526.9287,530.1093,530.1093,4208508
2026-04-28,531.1348,534.3216,526.7204,529.8998,529.8998,4229494
2026-04-29,530.9239,534.1095,526.4318,529.6095,529.6095,4249697
2026-04-30,530.5730,533.7565,526.0854,529.2610,529.2610,4268939
2026-05-01,530.1074,533.2881,525.7061,528.8794,528.8794,4287067
2026-05-04,529.5589,532.7362,525.3201,528.4910,528.4910,4303959
2026-05-05,528.9635,532.1373,524.9532,528.1219,528.1219,4319530
2026-05-06,528.3598,531.5300,524.6297,527.7964,527.7964,4099978
2026-05-07,527.7866,530.9533,524.3708,527.5360,527.5360,4112791
2026-05-08,527.2806,530.5223,524.1169,527.3582,527.3582,4124244
2026-05-11,526.8748,530.4391,523.7136,527.2755,527.2755,4134402
2026-05-12,526.5962,530.4590,523.4367,527.2952,527.2952,4143365
2026-05-13,526.4649,530.5834,523.3061,527.4189,527.4189,4151264
2026-05-14,526.4928,530.8086,523.3338,527.6428,527.6428,4158262
2026-05-15,526.6831,531.1257,523.5230,527.9580,527.9580,4164546
2026-05-18,527.0305,531.5214,523.8683,528.3513,528.3513,4170323
2026-05-19,527.5216,531.9792,524.3565,528.8064,528.8064,4175814
2026-05-20,528.1359,532.4805,524.9671,529.3047,529.3047,4181247
2026-05-21,528.8469,533.0058,525.6739,529.8268,529.8268,4186854
2026-05-22,529.6244,533.5362,526.4467,530.3541,530.3541,4192860
2026-05-26,530.4359,534.0547,527.2533,530.8694,530.8694,4199480
2026-05-27,531.2489,534.5469,528.0615,531.3587,531.3587,4206910
2026-05-28,532.0330,535.2252,528.6208,531.8117,531.8117,4215327
2026-05-29,532.7617,535.9582,529.0291,532.2225,532.2225,4224878
2026-06-01,533.4140,536.6145,529.3945,532.5900,532.5900,4001930
2026-06-02,533.9760,537.1799,529.7208,532.9183,532.9183,4014063
2026-06-03,534.4415,537.6481,530.0162,533.2155,533.2155,4027574
2026-06-04,534.8121,538.0210,530.2931,533.4941,533.4941,4042468
2026-06-05,535.0975,538.3081,530.5667,533.7693,533.7693,4058714
2026-06-08,535.3142,538.5261,530.8540,534.0584,534.0584,4076243
2026-06-09,535.4846,538.6975,531.1731,534.3793,534.3793,4094950
2026-06-10,535.6354,538.8492,531.5411,534.7496,534.7496,4114698
2026-06-11,535.7956,539.0104,531.9734,535.1845,535.1845,4135320
2026-06-12,535.9946,539.2106,532.4825,535.6967,535.6967,4156625
2026-06-15,536.2601,539.5123,533.0425,536.2945,536.2945,4178406
2026-06-16,536.6161,540.2034,533.3964,536.9815,536.9815,4200438
2026-06-17,537.0814,540.9825,533.8589,537.7560,537.7560,4222493
